t,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,x,y,z,rx,ry,rz,sp1,sp2,sp3,sp4,sp5,sp6,qt1,qt2,qt3,qt4,qt5,qt6,qdt1,qdt2,qdt3,qdt4,qdt5,qdt6,qddt1,qddt2,qddt3,qddt4,qddt5,qddt6
2539.312,0.98653244972229,-1.0569961706744593,1.2992572784423828,-3.627187554036276,-0.3642743269549769,-0.4633143583880823,0.0,0.0,-0.0,0.0,0.0,0.0,-0.13398972532697276,-0.6659815143295666,0.5739850657096256,1.294073668601508,-1.6528776092210167,2.2809896393298863,0.0,0.0,0.0,0.0,0.0,0.0,0.9865407842517036,-1.057007243862702,1.2992295207319984,-3.6270654927778594,-0.3643119041135954,-0.4633037482667781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2539.32,0.98653244972229,-1.0569842497455042,1.2992095947265625,-3.6271274725543416,-0.364286247883932,-0.4632909933673304,0.0,0.0,-0.0,0.0,0.0,0.0,-0.13400048673552215,-0.6659945264571667,0.5739953980946917,1.2940374960257672,-1.6529349803441666,2.281002281601101,0.0,0.0,0.0,0.0,0.0,0.0,0.9865407842517036,-1.057007243862702,1.2992295207319984,-3.6270654927778594,-0.3643119041135954,-0.4633037482667781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2539.328,0.98654443025589,-1.0569842497455042,1.2992095947265625,-3.6271036306964315,-0.3643100897418421,-0.4632909933673304,0.0,0.0,-0.0,0.0,0.0,0.0,-0.13399884282114266,-0.6660019026138544,0.5739952677697009,1.2940117468127459,-1.6529661365311776,2.281005502283967,0.0,0.0,0.0,0.0,0.0,0.0,0.9865407842517036,-1.057007243862702,1.2992295207319984,-3.6270654927778594,-0.3643119041135954,-0.4633037482667781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2539.3360000000002,0.9865683913230896,-1.0570443312274378,1.2992334365844729,-3.627151314412252,-0.3642743269549769,-0.4632790724383753,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1339585038991018,-0.6659730885529134,0.5740236308566011,1.2941075846380639,-1.65285780666949,2.2810245897861887,0.0,0.0,0.0,0.0,0.0,0.0,0.9865407842517036,-1.057007243862702,1.2992295207319984,-3.6270654927778594,-0.3643119041135954,-0.4633037482667781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2539.344,0.98653244972229,-1.0570319334613243,1.2991976737976074,-3.6271274725543416,-0.3642743269549769,-0.4633024374591273,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1339842937536634,-0.6659726078022583,0.5740301224448547,1.2940794325742686,-1.6528440740257622,2.280991598895918,0.0,0.0,0.0,0.0,0.0,0.0,0.9865407842517036,-1.057007243862702,1.2992295207319984,-3.6270654927778594,-0.3643119041135954,-0.4633037482667781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2539.3520000000003,0.98653244972229,-1.0569961706744593,1.2992453575134275,-3.6271637121783655,-0.3642142454730433,-0.4632790724383753,0.0,0.0,-0.0,0.0,0.0,0.0,-0.13398551179155996,-0.6659826461158991,0.5739866960009143,1.2941291776312749,-1.6529211014347098,2.2810264616926164,0.0,0.0,0.0,0.0,0.0,0.0,0.9865407842517036,-1.057007243862702,1.2992295207319984,-3.6270654927778594,-0.3643119041135954,-0.4633037482667781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2539.36,0.98654443025589,-1.0570080916034144,1.2991976737976074,-3.6271155516253866,-0.364286247883932,-0.463266674672262,0.0,0.0,-0.0,0.0,0.0,0.0,-0.13398876692758754,-0.6659889374656216,0.5740147203208493,1.294046229989381,-1.652925767078019,2.2810194305105087,0.0,0.0,0.0,0.0,0.0,0.0,0.9865407842517036,-1.057007243862702,1.2992295207319984,-3.6270654927778594,-0.3643119041135954,-0.4633037482667781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2539.368,0.98653244972229,-1.0570200125323694,1.2992334365844729,-3.6271393934832967,-0.3643100897418421,-0.4633143583880823,0.0,0.0,-0.0,0.0,0.0,0.0,-0.13399279274651374,-0.6659804308581814,0.5740094112191123,1.294026915520392,-1.6528832767597756,2.2809800251917736,0.0,0.0,0.0,0.0,0.0,0.0,0.9865407842517036,-1.057007243862702,1.2992295207319984,-3.6270654927778594,-0.3643119041135954,-0.4633037482667781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2539.376,0.9865683913230896,-1.057055775319235,1.2992453575134275,-3.6271155516253866,-0.3642743269549769,-0.4633024374591273,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1339583855217953,-0.6659743930195718,0.5740245892641296,1.2941075296189428,-1.6528810555303743,2.2810158776574294,0.0,0.0,0.0,0.0,0.0,0.0,0.9865407842517036,-1.057007243862702,1.2992295207319984,-3.6270654927778594,-0.3643119041135954,-0.4633037482667781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2539.384,0.9865084886550904,-1.0570200125323694,1.2992215156555176,-3.6271637121783655,-0.3642743269549769,-0.4632790724383753,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1340027010133052,-0.6659715991555034,0.5740138366893963,1.2940403051862366,-1.6528737718459872,2.280991383241544,0.0,0.0,0.0,0.0,0.0,0.0,0.9865407842517036,-1.057007243862702,1.2992295207319984,-3.6270654927778594,-0.3643119041135954,-0.4633037482667781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
