7751.392,[ 1.07006359 -0.56976778 -1.3112486  -2.09431583  0.52351177  1.04804039],[ 0.17600687 -0.31291514  0.7408264  -1.12816551  1.73566283 -0.91062773],[-0.02659036  0.01243233 -0.01995776 -0.09582806  0.05216085 -0.1535859 ]
7751.4,[ 1.06884193 -0.56973201 -1.31215889 -2.09430391  0.52352375  1.04804039],[ 0.17579769 -0.31281259  0.74066582 -1.12798156  1.7366542  -0.91191368],[-0.02811585  0.01112786 -0.02094601 -0.09565488  0.05221148 -0.15759565]
7751.407999999999,[ 1.06758475 -0.56966001 -1.31311781 -2.09431583  0.52352375  1.04800439],[ 0.17557756 -0.31271775  0.74049345 -1.12782779  1.73765973 -0.91327801],[-0.03139633  0.00795866 -0.0224492  -0.09361003  0.0512351  -0.16496404]
7751.415999999999,[ 1.06626761 -0.56963569 -1.31407673 -2.09434015  0.52352375  1.04805231],[ 0.17535104 -0.31260957  0.74032213 -1.12759888  1.73875246 -0.91466565],[-0.0296315   0.01253788 -0.02152999 -0.10244169  0.05626574 -0.16877016]
7751.424,[ 1.06493807 -0.56952793 -1.31509525 -2.09431583  0.52351177  1.04804039],[ 0.17510748 -0.31252983  0.74013372 -1.1273459   1.73981707 -0.91606236],[-0.03168304  0.01047708 -0.02350393 -0.10201438  0.05619388 -0.17326131]
7751.432,[ 1.06351268 -0.56940824 -1.31613762 -2.09429199  0.52351177  1.04805231],[ 0.17483537 -0.31246457  0.73993494 -1.1270144   1.74096393 -0.9174977 ],[-0.03115363  0.01237905 -0.02321178 -0.10606997  0.05863398 -0.17598813]
7751.44,[ 1.06213605 -0.56939632 -1.31720382 -2.09430391  0.52353573  1.04805231],[ 0.1746208  -0.31231612  0.73974779 -1.12689483  1.74210043 -0.9189926 ],[-0.03136335  0.01317669 -0.0228588  -0.10822234  0.06002464 -0.17941714]
7751.447999999999,[ 1.06068671 -0.56932432 -1.31823475 -2.09429199  0.52352375  1.04802835],[ 0.17435596 -0.3122315   0.73956327 -1.12661222  1.74325635 -0.92050574],[-0.034108    0.00995343 -0.02468204 -0.1054837   0.05868959 -0.18412484]
7751.455999999999,[ 1.05917823 -0.5693124  -1.31931287 -2.09428007  0.52353573  1.04804039],[ 0.17410209 -0.31210478  0.73937509 -1.12635893  1.74448974 -0.92207617],[-0.03211105  0.01379975 -0.02424635 -0.11252065  0.06284227 -0.18524348]
7751.464,[ 1.05766892 -0.56922847 -1.32045108 -2.09429199  0.52352375  1.04806471],[ 0.17383653 -0.31199924  0.73916397 -1.12608639  1.74572768 -0.923671  ],[-0.03364419  0.01211256 -0.02513785 -0.11115774  0.06229368 -0.18834542]
7751.472,[ 1.05612445 -0.56913263 -1.32156545 -2.09432775  0.52352375  1.04800439],[ 0.17355672 -0.31190922  0.73895841 -1.12586595  1.74695652 -0.9253173 ],[-0.03465523  0.01127419 -0.02642501 -0.11172198  0.0628293  -0.19120396]
7751.48,[ 1.05460322 -0.56914455 -1.32267982 -2.09431583  0.52355969  1.04799247],[ 0.17331852 -0.31175458  0.73876553 -1.12569373  1.74820473 -0.92692079],[-0.03359074  0.01432781 -0.02566981 -0.11772019  0.06645414 -0.19476501]
