t,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,x,y,z,rx,ry,rz,sp1,sp2,sp3,sp4,sp5,sp6,qt1,qt2,qt3,qt4,qt5,qt6,qdt1,qdt2,qdt3,qdt4,qdt5,qdt6,qddt1,qddt2,qddt3,qddt4,qddt5,qddt6
1179.592,0.7853719592094421,-1.3089740912066858,0.9599885940551758,-0.1745198408709924,0.1744416356086731,-0.1744869391070764,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1342770254084997,-0.6659426516236532,0.5744558268222367,1.2941474624193054,-1.6536451395532592,2.281015663727721,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.3089969389957474,0.959931088596881,-0.1745329251994327,0.1745329251994329,-0.1745329251994327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179.6,0.7853959202766418,-1.3089502493487757,0.9599885940551758,-0.1744959990130823,0.1744296550750732,-0.1744869391070764,0.0,0.0,-0.0,0.0,0.0,0.0,-0.13426590475753,-0.6659514875501955,0.5744386512759897,1.2941663565193344,-1.6536965672994246,2.2810448542217627,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.3089969389957474,0.959931088596881,-0.1745329251994327,0.1745329251994329,-0.1745329251994327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179.608,0.785383939743042,-1.3089621702777308,0.9599766731262208,-0.174483601246969,0.1744296550750732,-0.1745227018939417,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1342686644239427,-0.6659446481210853,0.5744497473571732,1.2941776442566697,-1.653649606918589,2.2810142404462046,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.3089969389957474,0.959931088596881,-0.1745329251994327,0.1745329251994329,-0.1745329251994327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179.616,0.7853959202766418,-1.3089502493487757,0.9599647521972656,-0.1745198408709924,0.1744296550750732,-0.1745107809649866,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1342656285056408,-0.6659512449013476,0.5744516158682178,1.2942035009317137,-1.6536159209814676,2.28101496212299,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.3089969389957474,0.959931088596881,-0.1745329251994327,0.1745329251994329,-0.1745329251994327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179.624,0.7853719592094421,-1.3089740912066858,0.9599885940551758,-0.1744959990130823,0.1744655966758728,-0.1744750181781214,0.0,0.0,-0.0,0.0,0.0,0.0,-0.134280703947842,-0.6659447691221336,0.574456913737662,1.2940960255706104,-1.653682091710196,2.281032206909664,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.3089969389957474,0.959931088596881,-0.1745329251994327,0.1745329251994329,-0.1745329251994327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179.6319999999998,0.785383939743042,-1.3089984099017542,0.9599647521972656,-0.1744597593890589,0.1744655966758728,-0.1745107809649866,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1342616517011132,-0.6659352718642393,0.5744783713959164,1.2941344135228567,-1.653628224134718,2.2810146485039646,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.3089969389957474,0.959931088596881,-0.1745329251994327,0.1745329251994329,-0.1745329251994327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179.64,0.7853719592094421,-1.3089984099017542,0.9600005149841307,-0.1744959990130823,0.1744536161422729,-0.1745227018939417,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1342706870828776,-0.6659354900506018,0.5744636521391545,1.294143997706304,-1.6536202546875571,2.281000486660585,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.3089969389957474,0.959931088596881,-0.1745329251994327,0.1745329251994329,-0.1745329251994327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179.648,0.7854318618774414,-1.3090341726886194,0.9599766731262208,-0.1744716803180139,0.1744655966758728,-0.1745346228228967,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1342186324594151,-0.6659305585376936,0.5744942218384945,1.2942191939535643,-1.6535488621844614,2.2810154664316062,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.3089969389957474,0.959931088596881,-0.1745329251994327,0.1745329251994329,-0.1745329251994327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179.656,0.7853719592094421,-1.309009853993551,0.9599766731262208,-0.174483601246969,0.1744655966758728,-0.1745107809649866,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1342673318565157,-0.6659313596930208,0.5744815039678187,1.294132957436655,-1.6536038982015526,2.2809998488079035,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.3089969389957474,0.959931088596881,-0.1745329251994327,0.1745329251994329,-0.1745329251994327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179.664,0.785383939743042,-1.3089984099017542,0.9599766731262208,-0.174483601246969,0.1744655966758728,-0.1745107809649866,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1342632670672148,-0.6659368939763655,0.5744750267714607,1.2941405802685502,-1.653614153006388,2.281010543270228,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.3089969389957474,0.959931088596881,-0.1745329251994327,0.1745329251994329,-0.1745329251994327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
